采用随机化仿真数据
cycle            1	       2	       3	       4	       5	       6	       7	       8	       9	      10	      11	      12		avg
flow:          781	     793	     756	     764	     829	     823	     827	     808	     773	     753	     781	     798		790.5
delay:    0.688163	0.695128	0.680922	0.700000	0.663499	0.720418	0.717206	0.676019	0.680049	0.688972	0.644294	0.694491		0.687430
ratio:    0.746212	0.772358	0.737452	0.769531	0.794677	0.809339	0.802419	0.798507	0.768908	0.772059	0.738095	0.803030		0.776049
tran:          659	     649	     641	     685	     692	     720	     679	     723	     619	     699	     600	     726		674.3

采用真实车辆轨迹数据--三亚
cycle            1	       2	       3	       4	       5	       6	       7	       8	       9	      10	      11	      12		avg
flow:         1095	    1084	    1079	    1082	    1077	    1060	    1043	    1028	    1039	    1016	    1000	     965		1047.3
delay:    0.633216	0.633538	0.637199	0.631890	0.633570	0.635975	0.632457	0.635688	0.640346	0.636364	0.643815	0.636750		0.635901
ratio:    0.949612	0.938697	0.922780	0.934363	0.932540	0.906977	0.907631	0.887218	0.889328	0.895131	0.857708	0.856589		0.906548
tran:          790	     792	     770	     771	     751	     752	     723	     758	     727	     771	     705	     712		751.8

