采用随机化仿真数据
cycle            1	       2	       3	       4	       5	       6	       7	       8	       9	      10	      11	      12		avg
flow:          775	     757	     765	     789	     825	     859	     751	     790	     864	     879	     824	     791		805.8
delay:    0.740870	0.712919	0.666087	0.681058	0.666901	0.720536	0.665360	0.690621	0.699889	0.693457	0.678753	0.679951		0.691367
ratio:    0.790441	0.737255	0.756554	0.786822	0.762846	0.808594	0.824818	0.708171	0.859316	0.804965	0.839216	0.786517		0.788793
defratio: 0.169884	0.239382	0.223938	0.185328	0.185328	0.169884	0.154440	0.231660	0.100386	0.185328	0.162162	0.185328		0.182754
tran:          767	     656	     678	     685	     637	     731	     762	     619	     774	     761	     715	     710		707.9

采用真实车辆轨迹数据--三亚
cycle            1	       2	       3	       4	       5	       6	       7	       8	       9	      10	      11	      12		avg
flow:         1087	    1083	    1067	    1081	    1089	    1082	    1053	    1025	    1044	    1013	    1005	     983		1051.0
delay:    0.633216	0.633187	0.637199	0.631890	0.634101	0.635975	0.632457	0.635688	0.641348	0.636920	0.642776	0.636944		0.635975
ratio:    0.959184	0.941860	0.938697	0.939163	0.946429	0.906504	0.894309	0.863469	0.881041	0.867188	0.849802	0.835294		0.901912
defratio: 0.023166	0.054054	0.069498	0.054054	0.054054	0.069498	0.084942	0.123552	0.100386	0.115830	0.115830	0.154440		0.084942
tran:          758	     785	     789	     787	     847	     717	     703	     751	     766	     717	     698	     686		750.3

