采用随机化仿真数据
cycle            1	       2	       3	       4	       5	       6	       7	       8	       9	      10	      11	      12		avg
flow:          775	     757	     765	     789	     825	     859	     751	     790	     864	     879	     824	     791		805.8
delay:    0.740870	0.712919	0.666087	0.681058	0.666901	0.720536	0.665360	0.690621	0.699889	0.693457	0.678753	0.679951		0.691367
ratio:    0.790441	0.737255	0.756554	0.786822	0.762846	0.808594	0.824818	0.708171	0.859316	0.804965	0.839216	0.786517		0.788793
defratio: 0.169884	0.239382	0.223938	0.185328	0.185328	0.169884	0.154440	0.231660	0.100386	0.185328	0.162162	0.185328		0.182754
tran:          767	     656	     678	     685	     637	     731	     762	     619	     774	     761	     715	     710		707.9

采用真实车辆轨迹数据--三亚
cycle            1	       2	       3	       4	       5	       6	       7	       8	       9	      10	      11	      12		avg
flow:          691	     627	     580	     564	     550	     484	     474	     464	     480	     465	     473	     476		527.3
delay:    0.712692	0.744292	0.744908	0.667642	0.694444	0.672655	0.700202	0.682121	0.651277	0.666598	0.671169	0.673453		0.690121
ratio:    0.651452	0.629213	0.537594	0.553360	0.530534	0.439689	0.449438	0.460432	0.479675	0.428571	0.449057	0.450758		0.504981
defratio: 0.332046	0.339768	0.393822	0.447876	0.447876	0.540541	0.525097	0.509653	0.532819	0.555985	0.532819	0.540541		0.474903
tran:          555	     599	     497	     457	     470	     359	     390	     412	     371	     356	     384	     376		435.5

